Name of HMXB,Distance (kpc),error on distance
1A 0535+262,3.8,0.33
1A 1118-615,3.2,1.4
1E 1145.1-6141,10.5,0.9
1H 1249-637,0.63,2.5
1H 1555-552,0.89,0.093
3A 0114+650,6.5,3
3A 0726-260,5,0.82
3A 2206+543,3.4,0.35
4U 1700-377,1.8,0.15
Cep X-4,3.7,0.52
Cyg X-1,1.8,0.56
EXO 0331+530,6.9,0.71
EXO 2030+375,3.1,0.38
gam Cas,0.17,0.5
GRO J1008-57,4.1,0.59
GT 0236+610,1.8,0.2
GX 301-2,3.1,0.64
GX 304-1,1.3,0.1
Ginga 0834-430,7.1,4.2
H 0115+634,5.3,0.44
H 1145-619,4.3,0.52
H 1417-624,7,0.74
H 1538-522,6.2,1.8
IGR J00370+6122,3.4,1.2
IGR J01583+6713,4.1,0.63
IGR J06074+2205,4.5,0.36
IGR J08408-4503,3.4,0.35
IGR J11215-5952,7.3,0.68
IGR J11305-6256,3.6,0.71
IGR J11435-6109,9.8,0.86
IGR J16465-4507,12.7,1.3
IGR J17200-3116,10.4,3.6
IGR J18214-1318,10.6,5
IGR J18410-0535,7.8,0.74
IGR J18450-0435,6.4,0.76
KS 1947+300,8.5,2.3
PSR B1259-63,1.7,0.56
RX J0440.9+4431,2.9,0.37
RX J0812.4-3114,8.6,1.8
RX J1744.7-2713,1.2,0.46
SAX J1818.6-1703,2.7,0.28
SAX J2103.5+4545  ,8,0.78
Vela X-1,2.2,0.22
XTE J1855-026,10.8,1
XTE J1946+274,6.2,3
X Per,1.2,0.16