Name,l,b,Spectral,Porb,Dist,ance & method,z,,dist to use in analysis,
,,,type,(hours),(kpc,),(pc),,(kpc),
GRO J0422+32,165.97,-11.99,K9-M2V,5.09,2.5,3.0 (B),-525 to -625,,2.5,
IA 0620-00,209.96,-6.54,K4-K5V,7.75,1.2,0.4 (B),-125,,1.2,
GS 1009-45,275.88,9.35,K6-MOV,6.84,5.7,0.7 (B),925,,5.7,
XTEJ1118+480,157.66,62.32,K5-MIV,4.08,1.8,0.6 (B),1600,,1.8,
GS 1124-684,295.3,-7.07,K3-K5V,10.4,5.5,1.0 (B),-675,,5.5,
4U 1543-47,330.92,5.43,A2V,26.8,7.5,0.5 (B),700,,7.5,
XTEJ1550-564,325.88,-1.83,G81V-K4111,37,5.3,2.3 (B),-175,,5.3,
GRO J1655-40,344.98,2.46,F2-F61V,62.9,3.2,± 0.2 (C),125,,3.2,
GX 339—4,338.94,-4.33,??,42.1,>6 ,),-450,,,
H 1705-250,358.59,9.06,KO-K5V,12.5,8.6,2 (B),1350,,8.6,
SAXJ1819.3-2525,6.77,-4.79,B9111,67.6,9.6,± 2.4 (B),-800,,9.6,
XTE Jl 859+226,54.05,8.61,G5-KOV,9.17,6.4,± 1.7a,950,,6.4,
GRS 1915+105,45.37,-0.22,K-Mlll,34 (days),11,4.1,-50,,11,
GS 2000+25,63.37,-3,K3-K6V,8.27,2.7,± 0.7 (B),-150,,2.7,
GS 2023+338,73.12,-2.09,G8-K11V,6.47 (days),4,}•02 (B),-150,,4,"up to here are BH, after are NS"
EXO 0748-676,279.98,-19.81,,,6.8,9.1,-2300 to -3075,,7.95,
2S 0918-54,"275,85",-3.84,,,4.3,5.8,-300 to -400,,5.05,
Cir X-I,322.12,0.04,,,7.8,10.5,O to O,,9.15,
4U 1608-522,330.93,-0.85,,,2.8,3.8,—50 to —50,,3.3,
sco X-I,350.09,23.78,,,2.8,+-0.3',1125,,2.8,
4U 1636-53,332.91,-4.82,,,3.7,4.9,—300 to —400,,4.3,
4U 1658-298,353.83,7.27,,,8.4,11.3,1075 to 1425,,9.85,
4U 1702-429,343.89,-1.32,,,5.3,7.1,—125 to —175,,6.2,
4U 1705—44,343.32,-2.34,,,7.2,9.6,—300 to —400,,8.4,
XTEJ1710-281,356.36,6.92,,,14.8,19.8,1800 to 2375,,17.3,
SAX J1712.6-3739,348.93,0.93,,,5.9,7.9,100 to 125,,6.9,
1H 1715-321,354.13,3.06,,,5.1,6.9,275 to 375,,6,
RXJ1718.4-4029,347.28,-1.65,,,6.4,8.6,—200 to —250,,7.5,
4U 1728-34,354.3,-0.15,,,4.5,6.1,0 to —25,,5.3,
KS 1731-260,1.07,3.65,,,5.3,7.1,325 to 450,,6.2,
4U 1735-44,346.05,-6.99,,,8,10.8,—975 to —1325,,9.4,
GRS 1741.9-2853,359.96,0.13,,,6.6,8.9,25 to 25,,7.75,
2E 1742.9-2929,359.56,-0.39,,,6.9,9.2,—50 to —75,,8.05,
SAX J1747.O-2853,0.21,-0.24,,,7.5,10,—25 to —50,,8.75,
GX 3+1,2.29,0.79,,,4.3,5.8,50 to 75,,5.05,
SAX J1750.8-2900,0.45,-0.95,,,5.2,7,—75 to —125,,6.1,
SAX J1752.3-3138,358.44,-2.64,,,7.9,10.6,—375 to —475,,9.25,
SAX JI 808.4-3658,355.38,-8.15,,,2.7,3.6,—375 to —500,,3.15,
SAX J1810.8-2609,5.2,-3.43,,,5.1,6.8,—300 to —400,,5.95,
4U 1812-12,18.06,2.38,,,3.4,4.6,150 to 200,,4,
XTE 11814-338,358.75,-7.59,,,8.2,11,—1075 to —1450,,9.6,
GX 17+2,16.43,1.28,,,11.9,16,275 to 350,,13.95,
Ser X-I,36.12,4.84,,,9.5,12.7,800 to 1075,,11.1,
Aql X-I,35.72,-4.14,,,4.4,5.9,—325 to —425,,5.15,
4U 1857+01,35.02,-3.71,,,7.5,10,—500 to —650,,8.75,
4U 1916-053,31.36,-8.46,,,7.5,10.1,—11000—1475,,8.8,
XTE 12123-058,46.48,-36.2,,,15.7,21,—9275 to —12.4 x 10^3,,18.35,
cyg X-2,87.33,-11.32,,,11.4,15.3,-2250 to -3000,,13.35,